area_id,address,area,Nightlight_Sum,Nightlight_Average,distance_airport,distance_port,area_agricultural,area_bareland,area_building,area_development,area_rangeland,area_road,area_tree,area_water,neighbor_address,neighbor_area,neighbor_Nightlight_Sum,neighbor_Nightlight_Average,neighbor_distance_airport,neighbor_distance_port,neighbor_area_agricultural,neighbor_area_bareland,neighbor_area_building,neighbor_area_development,neighbor_area_rangeland,neighbor_area_road,neighbor_area_tree,neighbor_area_water
01,"Sla Kram, Banteay Meanchey, KHM",6203.398010045601,3057.007080078125,0.11120837717189148,92.73423815671418,234.54838350829306,0.16548294839161073,0.014145259636207747,0.013466173674838645,0.1617571610587904,0.5455647736156233,0.010236803385186745,0.06909199262211062,0.019966329211870686,"[1] Snoeng, Battambang, KHM; [2] Run Ta Aek, Siem Reap, KHM; [3] Kriel, Oddar Meanchey, KHM",30222.653154367537,7214.062255859375,0.07475090418080761,197.60421049473425,779.3646713891145,0.08452978596495589,0.019693176571215158,0.012141434336414333,0.12821438435554047,0.5832520527296805,0.006342848369982767,0.12265515917462055,0.04281316782862904
02,"Snoeng, Battambang, KHM",12176.323207519983,2982.2685546875,0.07086971684816187,90.57425534328343,237.96427230836147,0.12858164039218906,0.013881133496285482,0.01399537539234011,0.13009585572969684,0.5878400973163017,0.00729471165036282,0.09505450893134655,0.023074141820511655,"[1] Sla Kram, Banteay Meanchey, KHM; [2] Phteah Rung, Pouthisat, KHM; [3] Run Ta Aek, Siem Reap, KHM; [4] Pailĭn, KHM",31200.906965758066,8564.75537109375,0.07745197458701017,373.9097113959284,818.2049934530829,0.0736290986488953,0.02139361103241536,0.01437136794293369,0.10865932881358355,0.5934383104653923,0.005905304483686094,0.12603598236286165,0.056181090542338864
03,"Baray, Kampong Cham, KHM",4514.864956072376,1780.3839111328125,0.08275851397447183,78.55056114991966,71.09708737034671,0.15428667755307188,0.0158516194397235,0.016937384667334625,0.15070147523726068,0.5225009589437308,0.007094979914845728,0.08996240615094162,0.0422233482459922,"[1] Prey Mul, Kampong Chhnang, KHM; [2] Sambour, Kampong Thom, KHM; [3] Svay Rolum, Kandal, KHM; [4] Changkrang, Kratie, KHM; [5] Tuek Thla, Prey Veng, KHM; [6] Chong Cheach, Tboung Khmum, KHM",43165.03484947044,15585.063049316406,0.07259666582041291,610.0909341105927,579.389895340019,0.11417684497835638,0.014556938233539225,0.01621720974319271,0.12311172946916003,0.5529996060399079,0.007019902378028309,0.13215170582351535,0.039254355065949764
04,"Prey Mul, Kampong Chhnang, KHM",5333.907940886017,1297.774658203125,0.1134616767094881,74.30641813082322,75.21565366314783,0.04756778152032542,0.02989457947558449,0.014133286816233718,0.1541832866803464,0.538623262605512,0.006781812382291065,0.12820743087323042,0.07934216050652945,"[1] Baray, Kampong Cham, KHM; [2] Haong Samnam, Kampong Speu, KHM; [3] Sambour, Kampong Thom, KHM; [4] Svay Rolum, Kandal, KHM; [5] Phteah Rung, Pouthisat, KHM",40143.796539272706,18257.469665527344,0.08590648435925202,417.14562392046764,458.2198107913646,0.08236242095828972,0.015281860687070077,0.017287907183009127,0.1049464933541322,0.5952813550334252,0.006705060362829935,0.13677804783140984,0.040925095625167524
05,"Haong Samnam, Kampong Speu, KHM",6974.815380926895,3489.07373046875,0.135398103553446,59.98854753097823,68.44805670294427,0.07381577877329688,0.004875040005515089,0.0180905630058983,0.14041361247504866,0.5809558038701773,0.010722788573531587,0.1621646229051881,0.008740091079821268,"[1] Prey Mul, Kampong Chhnang, KHM; [2] Lbaeuk, Kampot, KHM; [3] Svay Rolum, Kandal, KHM; [4] Trapeang Rung, Koh Kong, KHM; [5] Phteah Rung, Pouthisat, KHM; [6] Cheung Kou, Preah Sihanouk, KHM; [7] Srangae, Takeo, KHM",42948.311373555094,25571.830932617188,0.09385214066636924,669.6553547546982,743.960946091452,0.06589763742591033,0.01457705982271139,0.0255790198320616,0.09072513380846078,0.5746710009089132,0.0056458777568201,0.16763169110260073,0.05474863170154788
06,"Sambour, Kampong Thom, KHM",12863.09117786073,1018.0012817382812,0.019519889586943572,142.05020624065497,137.64205570120876,0.0956378789653505,0.019629491290397802,0.014740037805450228,0.10587177466266946,0.5926973087960657,0.006043163019373147,0.13496475154761645,0.029894080180647035,"[1] Baray, Kampong Cham, KHM; [2] Prey Mul, Kampong Chhnang, KHM; [3] Changkrang, Kratie, KHM; [4] Kampong Pranak, Preah Vihear, KHM; [5] Phteah Rung, Pouthisat, KHM; [6] Run Ta Aek, Siem Reap, KHM; [7] Sameakki, Stung Treng, KHM",71822.12323181205,9584.441223144531,0.03904612396272542,875.8507620792027,1246.160782658751,0.049668169105540845,0.014117750525605917,0.019648349090526828,0.08494623339485785,0.5941190330701699,0.004186907626771457,0.18163641836934513,0.051336688673378345
07,"Lbaeuk, Kampot, KHM",4708.7763940502855,2367.542236328125,0.1733447237024546,102.17551388154652,109.76733343942347,0.09449174182123349,0.0076914530154488445,0.0185955384847093,0.14017888880037216,0.5388955956759139,0.006899988078084314,0.16870690611028297,0.024066502483458405,"[1] Haong Samnam, Kampong Speu, KHM; [2] Cheung Kou, Preah Sihanouk, KHM; [3] Srangae, Takeo, KHM; [4] Kaev Poar, Kep, KHM",13200.092422272759,12639.11181640625,0.10994138588782865,387.39674636315283,415.54795681116957,0.11722196524404896,0.0062646191424923945,0.025077104269458094,0.14178568198848912,0.5308244009235422,0.010396798186012586,0.14194563356918796,0.02610201308593708
08,"Svay Rolum, Kandal, KHM",3265.734558122493,10605.9599609375,0.4868469112204499,19.781054100512293,16.861970659309193,0.1366229358883518,0.012068226271024505,0.022736721153405144,0.14467333632697804,0.5234181152543759,0.012520771037028316,0.0679182339079196,0.07924093957939538,"[1] Baray, Kampong Cham, KHM; [2] Prey Mul, Kampong Chhnang, KHM; [3] Haong Samnam, Kampong Speu, KHM; [4] 5B E Street, Tuek Thla, Phnom Penh, KHM; [5] Tuek Thla, Prey Veng, KHM; [6] Srangae, Takeo, KHM",25743.002814356933,39179.642822265625,0.3975443673024548,349.1449991025491,352.0103283870409,0.14424242071737498,0.013558696101226137,0.02186974474723662,0.16256560725651592,0.5011097917731203,0.009937704969834522,0.10729966538992985,0.03876679426038052
09,"Trapeang Rung, Koh Kong, KHM",11041.38720604129,1005.2088623046875,0.02220818024224394,155.5748475587095,163.965599655882,0.022061355061665493,0.011589274511068032,0.03935619407063879,0.03284076114682436,0.5916624638478704,0.0026146613193779858,0.25124546689299515,0.048350477916195116,"[1] Haong Samnam, Kampong Speu, KHM; [2] Phteah Rung, Pouthisat, KHM; [3] Cheung Kou, Preah Sihanouk, KHM",22118.86398773069,12476.421875,0.0654614393274515,309.93781755773927,374.55288564973597,0.05336605192878417,0.012613344259934225,0.020083438126828463,0.08526246737750837,0.6139775195650787,0.006388699798946475,0.1622920212185203,0.04569278584886199
10,"Changkrang, Kratie, KHM",11960.20341232525,652.2054443359375,0.01443954667764651,187.13318953785597,178.63072218576582,0.06553024125365259,0.005884441188221003,0.015085163609224001,0.09749341567740714,0.5789643955098113,0.005289525314863599,0.19847112781343618,0.03319019887613302,"[1] Baray, Kampong Cham, KHM; [2] Sambour, Kampong Thom, KHM; [3] Bu Chri, Mondulkiri, KHM; [4] Sameakki, Stung Treng, KHM; [5] Chong Cheach, Tboung Khmum, KHM",48009.21198791177,5144.353607177734,0.027280212388706954,819.7940304053236,822.2576968969552,0.0702566848270722,0.010267921814415534,0.02433306658451144,0.10328070013693653,0.5889555181024979,0.004219916478542297,0.16770669046084025,0.030744023264787826
